                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 1.1762,                 1.2709,                 1.0659,                0.19906,                0.40474,                 0.1979,                0.10883,                 1.5699,                 2.2698,                 1.3056,             0.00054463,             0.00054463,             0.00054463
                     60,                 1.1886,                 1.2767,                 1.0612,                0.22413,                0.36415,                0.20658,                0.11281,                 1.5443,                 2.2029,                 1.2939,             0.00053225,             0.00053225,             0.00053225
                     61,                 1.1412,                 1.2558,                 1.0546,                0.20684,                0.33706,                0.17269,                0.09662,                  1.581,                 2.2092,                 1.3278,             0.00051988,             0.00051988,             0.00051988
                     62,                 1.1576,                 1.2256,                  1.049,                0.20343,                 0.3282,                0.18983,                0.10794,                 1.5421,                   2.19,                 1.3084,              0.0005075,              0.0005075,              0.0005075
                     63,                 1.1491,                 1.2576,                  1.059,                0.19615,                0.40826,                0.22015,                0.12404,                 1.5343,                 2.1741,                 1.3175,             0.00049513,             0.00049513,             0.00049513
                     64,                 1.1875,                 1.2785,                 1.0639,                0.22122,                0.40424,                0.22728,                 0.1321,                 1.5333,                 2.1946,                 1.3068,             0.00048275,             0.00048275,             0.00048275
                     65,                 1.1298,                  1.202,                 1.0504,                 0.2228,                0.37104,                0.21899,                0.12103,                 1.5888,                 2.1281,                 1.3519,             0.00047038,             0.00047038,             0.00047038
                     66,                 1.1494,                 1.1859,                 1.0453,                0.25188,                 0.3545,                  0.226,                0.12256,                 1.5991,                 2.1174,                 1.3599,               0.000458,               0.000458,               0.000458
                     67,                 1.1584,                 1.1795,                 1.0697,                0.28972,                0.34681,                0.24796,                0.14262,                  1.546,                 1.9946,                 1.3157,             0.00044563,             0.00044563,             0.00044563
                     68,                 1.1209,                 1.1766,                 1.0391,                0.24294,                0.36469,                0.22583,                 0.1254,                 1.5971,                 2.1446,                 1.3531,             0.00043325,             0.00043325,             0.00043325
                     69,                 1.1587,                 1.1484,                 1.0581,                0.22667,                0.35014,                0.20877,                0.11593,                 1.5467,                 2.1641,                  1.329,             0.00042087,             0.00042087,             0.00042087
                     70,                 1.1542,                 1.1774,                 1.0525,                0.22262,                0.38778,                0.21415,                0.11755,                 1.5567,                 2.1911,                  1.347,              0.0004085,              0.0004085,              0.0004085
                     71,                 1.1364,                 1.1125,                 1.0439,                0.26113,                0.33918,                0.22703,                0.12613,                 1.5298,                 2.1254,                 1.3201,             0.00039613,             0.00039613,             0.00039613
                     72,                 1.1307,                 1.1133,                 1.0392,                0.22219,                0.37962,                0.23881,                0.13586,                 1.5377,                 2.1406,                 1.3008,             0.00038375,             0.00038375,             0.00038375
                     73,                 1.1291,                 1.1229,                 1.0417,                 0.2291,                  0.359,                0.23378,                 0.1314,                 1.5389,                 2.2524,                 1.3015,             0.00037138,             0.00037138,             0.00037138
                     74,                 1.1196,                 1.1175,                 1.0445,                0.20244,                0.43058,                0.24697,                0.14182,                 1.5236,                  2.233,                 1.2897,               0.000359,               0.000359,               0.000359
                     75,                 1.1289,                 1.1209,                 1.0537,                0.22259,                0.36754,                0.22071,                0.12624,                 1.5431,                 2.1986,                 1.3132,             0.00034663,             0.00034663,             0.00034663
                     76,                 1.0957,                 1.0893,                 1.0387,                0.21123,                0.33861,                0.21744,                0.12391,                 1.5548,                 2.2681,                 1.3132,             0.00033425,             0.00033425,             0.00033425
                     77,                 1.1095,                 1.0951,                 1.0371,                0.24291,                0.30501,                 0.1981,                0.11053,                 1.5534,                 2.3461,                 1.3163,             0.00032188,             0.00032188,             0.00032188
                     78,                 1.1129,                 1.0864,                 1.0195,                0.20013,                0.42087,                0.19171,                 0.1048,                 1.5969,                 2.3229,                 1.3675,              0.0003095,              0.0003095,              0.0003095
                     79,                 1.0732,                 1.0502,                 1.0213,                0.21778,                0.38727,                0.19827,                0.10943,                 1.5708,                 2.2875,                 1.3381,             0.00029713,             0.00029713,             0.00029713
                     80,                 1.0964,                 1.0754,                 1.0318,                0.24304,                0.32963,                0.20945,                0.11773,                 1.5642,                 2.2865,                 1.3296,             0.00028475,             0.00028475,             0.00028475
                     81,                 1.1015,                 1.0384,                 1.0351,                0.21556,                0.39565,                0.21215,                0.11908,                 1.5935,                 2.2928,                 1.3548,             0.00027237,             0.00027237,             0.00027237
                     82,                 1.0539,                 1.0142,                 1.0073,                0.23221,                 0.3805,                0.22705,                0.13243,                 1.5364,                 2.2803,                  1.307,                0.00026,                0.00026,                0.00026
                     83,                 1.0781,                 1.0206,                 1.0076,                0.23145,                0.34405,                0.21532,                0.12142,                 1.5447,                  2.217,                 1.3155,             0.00024762,             0.00024762,             0.00024762
                     84,                 1.0883,                 0.9831,                 1.0232,                0.20109,                0.38382,                0.21115,                0.11441,                  1.587,                 2.2331,                 1.3504,             0.00023525,             0.00023525,             0.00023525
                     85,                 1.0731,                0.99624,                 1.0173,                0.23247,                0.39529,                0.23642,                 0.1324,                 1.5647,                 2.1149,                 1.3213,             0.00022288,             0.00022288,             0.00022288
                     86,                 1.0608,                 1.0181,                 1.0145,                0.23189,                0.38311,                0.23025,                0.12729,                 1.5758,                 2.1712,                 1.3266,              0.0002105,              0.0002105,              0.0002105
                     87,                 1.0794,                0.99236,                  1.012,                0.27438,                   0.33,                 0.2194,                 0.1175,                 1.5998,                 2.2515,                 1.3391,             0.00019813,             0.00019813,             0.00019813
                     88,                 1.0738,                0.99372,                 1.0111,                0.22723,                0.42257,                0.22995,                0.12668,                  1.566,                 2.1797,                 1.3289,             0.00018575,             0.00018575,             0.00018575
                     89,                  1.042,                0.99701,                  1.015,                0.25949,                0.36749,                0.24314,                0.13758,                 1.5515,                 2.0831,                 1.3282,             0.00017338,             0.00017338,             0.00017338
                     90,                 1.0531,                0.96252,                 1.0078,                0.24274,                0.40166,                0.24691,                0.14034,                 1.5458,                 2.0726,                 1.3176,               0.000161,               0.000161,               0.000161
                     91,                 1.0428,                0.99985,                 1.0309,                0.22466,                0.44412,                0.24556,                0.13997,                 1.5351,                    2.1,                 1.2966,             0.00014862,             0.00014862,             0.00014862
                     92,                 1.0605,                0.99488,                 1.0234,                0.21374,                0.41708,                0.22335,                 0.1278,                 1.5456,                 2.2054,                 1.3073,             0.00013625,             0.00013625,             0.00013625
                     93,                 1.0055,                0.96363,                0.98957,                0.20463,                0.42687,                 0.2125,                0.11757,                 1.5732,                 2.2167,                 1.3413,             0.00012387,             0.00012387,             0.00012387
                     94,                 1.0316,                0.92187,                 1.0157,                0.19054,                0.42739,                0.19697,                0.10935,                  1.584,                 2.2385,                 1.3657,              0.0001115,              0.0001115,              0.0001115
                     95,                      1,                0.90107,                 1.0043,                0.18888,                0.43797,                0.19652,                0.10983,                 1.5672,                 2.2536,                 1.3588,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     96,                0.99156,                0.85632,                0.99919,                0.21951,                0.33031,                0.19451,                0.10628,                 1.6091,                 2.3259,                 1.3882,              8.675e-05,              8.675e-05,              8.675e-05
                     97,                0.99274,                0.87227,                0.99445,                0.19321,                0.41758,                0.19808,                0.10743,                 1.6195,                 2.3174,                 1.3897,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     98,                0.99557,                0.88806,                 1.0068,                0.19148,                0.41988,                0.20836,                0.11362,                 1.5984,                 2.2834,                 1.3661,                6.2e-05,                6.2e-05,                6.2e-05
                     99,                0.98874,                 0.8515,                0.99197,                0.23062,                0.32448,                0.21596,                0.11946,                 1.5866,                 2.2381,                 1.3553,             4.9625e-05,             4.9625e-05,             4.9625e-05
                    100,                0.98204,                0.84661,                0.98667,                0.24037,                0.31692,                0.22256,                0.12425,                 1.5863,                 2.2008,                 1.3579,              3.725e-05,              3.725e-05,              3.725e-05
