                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.88964,                   0.93,                 1.2796,                0.26754,                0.44902,                0.24689,                0.17113,                 1.1133,                 2.1462,                 1.6025,             0.00038375,             0.00038375,             0.00038375
                     73,                0.89276,                0.93544,                 1.2719,                0.26192,                0.40822,                 0.2416,                0.16884,                 1.1137,                  2.148,                 1.6022,             0.00037138,             0.00037138,             0.00037138
                     74,                0.89219,                0.93788,                 1.3015,                0.25417,                0.45937,                0.24382,                0.16905,                 1.1176,                 2.2631,                 1.6227,               0.000359,               0.000359,               0.000359
                     75,                0.90457,                 0.9532,                 1.3239,                0.26843,                0.40663,                0.25075,                 0.1746,                 1.1267,                 2.2464,                 1.6281,             0.00034663,             0.00034663,             0.00034663
                     76,                0.87038,                0.91321,                 1.2976,                0.25568,                0.37679,                0.23471,                0.16349,                 1.1547,                 2.0888,                 1.6957,             0.00033425,             0.00033425,             0.00033425
                     77,                0.87637,                0.91928,                 1.2863,                0.26241,                0.36501,                0.24064,                0.16695,                   1.15,                  2.053,                 1.6826,             0.00032188,             0.00032188,             0.00032188
                     78,                0.87413,                0.91734,                 1.2531,                0.26721,                0.35585,                 0.2436,                0.17113,                 1.1436,                  2.126,                  1.664,              0.0003095,              0.0003095,              0.0003095
                     79,                 0.8721,                0.88837,                 1.2715,                 0.2524,                0.42548,                0.23305,                0.16233,                 1.1457,                 2.2747,                 1.6667,             0.00029713,             0.00029713,             0.00029713
                     80,                0.86587,                0.93033,                 1.2581,                0.25032,                0.41043,                0.22898,                0.15937,                 1.1717,                 2.2876,                 1.7199,             0.00028475,             0.00028475,             0.00028475
                     81,                0.85939,                0.90605,                 1.2958,                0.26691,                0.41047,                0.24234,                0.16825,                 1.1425,                  2.135,                 1.6652,             0.00027237,             0.00027237,             0.00027237
                     82,                0.84935,                0.87765,                  1.251,                0.27385,                 0.4063,                0.25105,                0.17065,                 1.1264,                  2.076,                 1.6387,                0.00026,                0.00026,                0.00026
                     83,                0.84581,                0.86368,                 1.2376,                  0.297,                0.38246,                0.24987,                0.16824,                 1.1519,                  2.032,                 1.6871,             0.00024762,             0.00024762,             0.00024762
                     84,                0.86683,                 0.8595,                 1.2787,                0.28487,                0.40379,                0.25291,                0.17517,                 1.1286,                 2.0515,                 1.6379,             0.00023525,             0.00023525,             0.00023525
                     85,                0.85388,                0.84417,                 1.2489,                0.27668,                 0.4295,                0.25374,                0.17552,                 1.1282,                 2.0734,                 1.6448,             0.00022288,             0.00022288,             0.00022288
                     86,                0.85839,                0.88273,                 1.2596,                0.27563,                0.42149,                0.25594,                0.17548,                 1.1375,                 2.0863,                 1.6757,              0.0002105,              0.0002105,              0.0002105
                     87,                0.87907,                0.86766,                 1.2555,                0.28198,                0.44985,                0.25969,                0.18033,                 1.1138,                 2.1382,                 1.6329,             0.00019813,             0.00019813,             0.00019813
                     88,                0.84708,                0.84137,                 1.2448,                0.28679,                0.44935,                0.25415,                0.17387,                 1.1158,                  2.262,                 1.6445,             0.00018575,             0.00018575,             0.00018575
                     89,                0.84294,                0.86205,                 1.2595,                0.28598,                0.45352,                0.25678,                 0.1775,                 1.1163,                 2.2559,                 1.6403,             0.00017338,             0.00017338,             0.00017338
